rule,type,accuracy,severity,fixability,applicability,configuration,conflicts,total
AIR001,Stable,2,1,0,0,2,2,
AIR002,Stable,2,2,0,0,2,2,
AIR301,Stable,2,2,2,0,2,2,
AIR302,Stable,2,2,2,0,2,2,
AIR311,Stable,2,1,2,0,2,2,
AIR312,Stable,2,1,2,0,2,2,
ERA001,Stable,0,0,0,2,1,2,
FAST001,Stable,0,1,2,0,2,2,
FAST002,Stable,2,1,2,0,2,2,
FAST003,Stable,0,2,2,0,2,2,
YTT101,Stable,2,2,0,2,2,2,
YTT102,Stable,2,2,0,2,2,2,
YTT103,Stable,2,2,0,2,2,2,
YTT201,Stable,2,2,0,2,2,2,
YTT202,Stable,2,2,0,0,2,2,
YTT203,Stable,2,2,0,2,2,2,
YTT204,Stable,2,2,0,2,2,2,
YTT301,Stable,2,2,0,2,2,2,
YTT302,Stable,2,2,0,2,2,2,
YTT303,Stable,2,2,0,2,2,2,
ANN001,Stable,2,0,0,2,1,2,
ANN002,Stable,2,0,0,2,1,2,
ANN003,Stable,2,0,0,2,1,2,
ANN101,Removed,2,0,0,2,2,1,
ANN102,Removed,2,0,0,2,2,1,
ANN201,Stable,2,0,2,2,2,2,
ANN202,Stable,2,0,2,2,2,2,
ANN204,Stable,2,0,2,2,2,2,
ANN205,Stable,2,0,2,2,2,2,
ANN206,Stable,2,0,2,2,2,2,
ANN401,Stable,1,0,0,2,1,2,
ASYNC100,Stable,2,2,0,2,2,2,
ASYNC105,Stable,2,2,2,0,2,2,
ASYNC109,Stable,2,0,0,2,2,2,
ASYNC110,Stable,2,1,0,2,2,2,
ASYNC115,Stable,2,1,2,0,2,2,
ASYNC116,Stable,2,1,2,0,2,2,
ASYNC210,Stable,2,2,0,0,2,2,
ASYNC212,Preview,2,2,0,0,2,2,
ASYNC220,Stable,2,2,0,2,2,2,
ASYNC221,Stable,2,2,0,2,2,2,
ASYNC222,Stable,2,2,0,2,2,2,
ASYNC230,Stable,2,2,0,0,2,2,
ASYNC240,Preview,2,2,0,0,2,2,
ASYNC250,Preview,2,2,0,2,2,2,
ASYNC251,Stable,2,2,0,2,2,2,
S101,Stable,2,0,0,2,2,2,
S102,Stable,2,0,0,2,2,2,
S103,Stable,0,0,0,2,2,2,
S104,Stable,0,0,0,2,2,2,
S105,Stable,0,0,0,2,2,2,
S106,Stable,0,0,0,2,2,2,
S107,Stable,0,0,0,2,2,2,
S108,Stable,0,1,0,2,1,2,
S110,Stable,2,1,0,2,1,2,
S112,Stable,2,1,0,2,1,2,
S113,Stable,2,1,0,0,2,2,
S201,Stable,2,1,0,0,2,2,
S202,Stable,2,1,0,2,2,2,
S301,Stable,2,1,0,2,2,2,
S302,Stable,2,1,0,2,2,2,
S303,Stable,2,1,0,0,2,2,
S304,Stable,2,1,0,0,2,2,
S305,Stable,2,1,0,0,2,2,
S306,Stable,2,1,0,2,2,2,
S307,Stable,2,1,0,2,2,2,
S308,Stable,2,1,0,0,2,2,
S310,Stable,0,1,0,2,2,2,
S311,Stable,0,1,0,2,2,2,
S312,Stable,0,1,0,2,2,2,
S313,Stable,0,1,0,2,2,2,
S314,Stable,0,1,0,2,2,2,
S315,Stable,0,1,0,2,2,2,
S316,Stable,0,1,0,2,2,2,
S317,Stable,0,1,0,2,2,2,
S318,Stable,0,1,0,2,2,2,
S319,Stable,0,1,0,2,2,2,
S320,Removed,0,1,0,0,2,2,
S321,Stable,0,1,0,2,2,2,
S323,Stable,0,1,0,2,2,2,
S324,Stable,0,1,0,2,2,2,
S401,Preview,0,1,0,2,2,2,
S402,Preview,0,1,0,2,2,2,
S403,Preview,0,1,0,2,2,2,
S404,Preview,0,1,0,2,2,2,
S405,Preview,0,1,0,2,2,2,
S406,Preview,0,1,0,2,2,2,
S407,Preview,0,1,0,2,2,2,
S408,Preview,0,1,0,2,2,2,
S409,Preview,0,1,0,2,2,2,
S410,Removed,0,1,0,0,2,2,
S411,Preview,0,1,0,2,2,2,
S412,Preview,0,1,0,2,2,2,
S413,Preview,0,1,0,0,2,2,
S415,Preview,0,1,0,0,2,2,
S501,Stable,0,1,0,0,2,2,
S502,Stable,0,1,0,2,2,2,
S503,Stable,0,1,0,2,2,2,
S504,Stable,0,1,0,2,2,2,
S505,Stable,0,1,0,2,2,2,
S506,Stable,0,1,0,0,2,2,
S507,Stable,0,1,0,0,2,2,
S508,Stable,0,1,0,0,2,2,
S509,Stable,0,1,0,0,2,2,
S601,Stable,0,1,0,0,2,2,
S602,Stable,0,1,0,2,2,2,
S603,Stable,0,1,0,2,2,2,
S604,Stable,0,1,0,0,2,2,
S605,Stable,0,1,0,2,2,2,
S606,Stable,0,1,0,2,2,2,
S607,Stable,0,1,0,2,2,2,
S608,Stable,0,1,0,2,2,2,
S609,Stable,0,1,0,2,2,2,
S610,Stable,0,1,0,0,2,2,
S611,Stable,0,1,0,0,2,2,
S612,Stable,0,1,0,2,2,2,
S701,Stable,0,1,0,0,2,2,
S702,Stable,0,1,0,0,2,2,
S704,Stable,0,1,0,0,1,2,
BLE001,Stable,1,1,0,2,2,2,
FBT001,Stable,2,0,0,2,2,2,
FBT002,Stable,2,0,0,2,2,2,
FBT003,Stable,2,0,0,2,1,2,
B002,Stable,2,2,0,2,2,2,
B003,Stable,2,2,0,2,2,2,
B004,Stable,2,2,2,2,2,2,
B005,Stable,2,2,0,2,2,2,
B006,Stable,1,2,2,2,1,2,
B007,Stable,0,2,2,2,2,2,
B008,Stable,1,2,0,2,1,2,
B009,Stable,2,1,2,2,2,2,
B010,Stable,2,1,2,2,2,2,
B011,Stable,2,1,2,2,2,2,
B012,Stable,2,2,0,2,2,2,
B013,Stable,2,1,2,2,2,2,
B014,Stable,2,1,2,2,2,2,
B015,Stable,2,2,0,2,2,2,
B016,Stable,2,2,0,2,2,2,
B017,Stable,2,2,0,2,2,2,
B018,Stable,1,2,0,2,2,2,
B019,Stable,2,2,0,2,2,2,
B020,Stable,2,2,0,2,2,2,
B021,Stable,2,2,0,2,2,2,
B022,Stable,2,2,0,2,2,2,
B023,Stable,0,2,0,2,2,2,
B024,Stable,2,1,0,2,2,2,
B025,Stable,2,2,0,2,2,2,
B026,Stable,2,1,0,2,2,2,
B027,Stable,2,1,0,2,2,2,
B028,Stable,2,1,2,2,2,2,
B029,Stable,2,2,0,2,2,2,
B030,Stable,2,2,0,2,2,2,
B031,Stable,2,2,0,2,2,2,
B032,Stable,2,2,0,2,2,2,
B033,Stable,2,1,2,2,2,2,
B034,Stable,2,0,0,2,2,2,
B035,Stable,2,2,0,2,2,2,
B039,Stable,1,2,0,2,1,2,
B901,Preview,1,2,0,2,2,2,
B903,Preview,2,0,0,2,2,2,
B904,Stable,2,1,0,2,2,2,
B905,Stable,2,0,2,2,2,2,
B909,Preview,1,2,0,2,2,2,
B911,Stable,2,0,0,2,1,2,
B912,Preview,2,0,2,2,1,2,
A001,Stable,1,2,0,2,1,2,
A002,Stable,2,2,0,2,1,2,
A003,Stable,1,2,0,2,1,2,
A004,Stable,2,2,0,2,1,2,
A005,Stable,2,2,0,2,1,2,
A006,Stable,2,2,0,2,1,2,
COM812,Stable,2,0,2,2,2,1,
COM818,Stable,2,0,0,2,2,2,
COM819,Stable,2,0,2,2,2,1,
C400,Stable,2,1,2,2,2,2,
C401,Stable,2,1,2,2,2,2,
C402,Stable,2,1,2,2,2,2,
C403,Stable,2,1,2,2,2,2,
C404,Stable,2,1,2,2,2,2,
C405,Stable,2,1,2,2,2,2,
C406,Stable,2,1,2,2,2,2,
C408,Stable,2,1,2,2,1,2,
C409,Stable,2,1,2,2,2,2,
C410,Stable,2,1,2,2,2,2,
C411,Stable,2,1,2,2,2,2,
C413,Stable,2,1,2,2,2,2,
C414,Stable,2,1,2,2,2,2,
C415,Stable,2,1,0,2,2,2,
C416,Stable,1,1,2,2,2,2,
C417,Stable,2,1,2,2,2,2,
C418,Stable,2,1,2,2,2,2,
C419,Stable,2,1,2,2,2,2,
C420,Stable,2,1,2,2,2,2,
CPY001,Preview,2,0,0,2,1,2,
DTZ001,Stable,2,1,0,2,2,2,
DTZ002,Stable,2,1,0,2,2,2,
DTZ003,Stable,2,1,0,2,2,2,
DTZ004,Stable,2,1,0,2,2,2,
DTZ005,Stable,2,1,0,2,2,2,
DTZ006,Stable,2,1,0,2,2,2,
DTZ007,Stable,2,1,0,2,2,2,
DTZ011,Stable,2,1,0,2,2,2,
DTZ012,Stable,2,1,0,2,2,2,
DTZ901,Stable,2,1,0,2,2,2,
T100,Stable,2,2,0,2,2,2,
DJ001,Stable,2,1,0,0,2,2,
DJ003,Stable,2,1,0,0,2,2,
DJ006,Stable,1,1,0,0,2,2,
DJ007,Stable,2,1,0,0,2,2,
DJ008,Stable,1,1,0,0,2,2,
DJ012,Stable,1,0,0,0,2,2,
DJ013,Stable,2,1,0,0,2,2,
EM101,Stable,2,1,2,2,1,2,
EM102,Stable,2,1,2,2,2,2,
EM103,Stable,2,1,2,2,2,2,
EXE001,Stable,2,2,0,2,2,2,
EXE002,Stable,2,2,0,2,2,2,
EXE003,Stable,2,2,0,2,2,2,
EXE004,Stable,2,2,2,2,2,2,
EXE005,Stable,2,2,0,2,2,2,
FIX001,Stable,2,0,0,2,2,2,
FIX002,Stable,2,0,0,2,2,2,
FIX003,Stable,2,0,0,2,2,2,
FIX004,Stable,2,0,0,2,2,2,
FA100,Stable,2,0,2,2,1,2,
FA102,Stable,2,0,2,2,1,2,
INT001,Stable,2,2,0,2,1,2,
INT002,Stable,2,2,0,2,1,2,
INT003,Stable,2,2,0,2,1,2,
ISC001,Stable,2,0,2,2,2,2,
ISC002,Stable,2,0,0,2,1,1,
ISC003,Stable,2,0,2,2,1,2,
ISC004,Preview,2,0,2,2,2,2,
ICN001,Stable,2,0,2,2,1,2,
ICN002,Stable,2,0,0,2,0,2,
ICN003,Stable,2,0,0,2,0,2,
LOG001,Stable,2,2,2,2,2,2,
LOG002,Stable,2,1,2,2,2,2,
LOG004,Preview,1,1,2,2,1,2,
LOG007,Stable,2,1,0,2,1,2,
LOG009,Stable,2,1,2,2,2,2,
LOG014,Stable,0,1,2,2,1,2,
LOG015,Stable,2,1,0,2,2,2,
G001,Stable,0,1,0,2,1,2,
G002,Stable,0,1,0,2,1,2,
G003,Stable,0,1,0,2,1,2,
G004,Stable,0,1,2,2,1,2,
G010,Stable,0,1,2,2,1,2,
G101,Stable,0,2,0,2,1,2,
G201,Stable,0,1,0,2,1,2,
G202,Stable,0,1,0,2,1,2,
INP001,Stable,1,0,0,2,1,2,
PIE790,Stable,2,0,2,2,2,2,
PIE794,Stable,2,2,2,2,2,2,
PIE796,Stable,2,2,0,2,2,2,
PIE800,Stable,2,1,2,2,2,2,
PIE804,Stable,2,1,2,2,2,2,
PIE807,Stable,2,1,2,2,2,2,
PIE808,Stable,2,1,2,2,2,2,
PIE810,Stable,2,1,2,2,2,2,
T201,Stable,2,0,2,2,2,2,
T203,Stable,2,0,2,2,2,2,
PYI001,Stable,2,0,0,1,2,2,
PYI002,Stable,2,1,0,1,2,2,
PYI003,Stable,2,2,0,1,2,2,
PYI004,Stable,2,2,0,1,2,2,
PYI005,Stable,2,2,0,1,2,2,
PYI006,Stable,2,2,0,2,2,2,
PYI007,Stable,2,1,0,1,2,2,
PYI008,Stable,2,1,0,1,2,2,
PYI009,Stable,2,0,2,1,2,2,
PYI010,Stable,2,1,2,1,2,2,
PYI011,Stable,2,0,2,1,2,2,
PYI012,Stable,2,0,2,1,2,2,
PYI013,Stable,2,0,2,2,2,2,
PYI014,Stable,2,0,2,1,2,2,
PYI015,Stable,2,0,2,1,2,2,
PYI016,Stable,2,2,2,2,2,2,
PYI017,Stable,2,1,0,1,2,2,
PYI018,Stable,2,2,2,2,2,2,
PYI019,Stable,2,1,2,2,1,2,
PYI020,Stable,2,1,2,1,2,2,
PYI021,Stable,2,1,2,1,2,2,
PYI024,Stable,2,0,0,2,2,2,
PYI025,Stable,2,0,2,2,2,2,
PYI026,Stable,2,0,2,1,1,2,
PYI029,Stable,1,1,2,1,2,2,
PYI030,Stable,2,1,2,2,2,2,
PYI032,Stable,2,1,2,2,2,2,
PYI033,Stable,2,1,0,1,2,2,
PYI034,Stable,1,1,1,2,1,2,
PYI035,Stable,2,2,0,1,2,2,
PYI036,Stable,1,1,2,2,2,2,
PYI041,Stable,2,1,2,2,2,2,
PYI042,Stable,2,1,0,2,2,2,
PYI043,Stable,2,1,0,2,2,2,
PYI044,Stable,2,1,2,1,2,2,
PYI045,Stable,2,1,0,2,2,2,
PYI046,Stable,2,2,0,2,2,2,
PYI047,Stable,2,2,0,2,2,2,
PYI048,Stable,2,1,0,1,2,2,
PYI049,Stable,2,2,0,2,2,2,
PYI050,Stable,2,0,0,2,2,2,
PYI051,Stable,2,1,0,2,2,2,
PYI052,Stable,2,1,0,1,2,2,
PYI053,Stable,2,0,2,1,2,2,
PYI054,Stable,2,0,2,1,2,2,
PYI055,Stable,2,0,2,2,2,2,
PYI056,Stable,2,1,0,2,2,2,
PYI057,Stable,2,2,0,2,2,2,
PYI058,Stable,2,1,2,2,2,2,
PYI059,Stable,2,2,2,2,2,2,
PYI061,Stable,2,1,2,2,2,2,
PYI062,Stable,2,2,2,2,2,2,
PYI063,Stable,2,1,0,2,2,2,
PYI064,Stable,2,1,2,2,2,2,
PYI066,Stable,2,1,0,1,2,2,
PT001,Stable,2,0,2,1,1,2,
PT002,Stable,2,0,0,1,2,2,
PT003,Stable,2,0,2,1,2,2,
PT004,Removed,2,0,0,1,2,2,
PT005,Removed,2,0,0,1,2,2,
PT006,Stable,2,0,2,1,1,2,
PT007,Stable,2,0,2,1,1,2,
PT008,Stable,2,0,0,1,2,2,
PT009,Stable,2,1,2,2,2,2,
PT010,Stable,2,2,0,1,2,2,
PT011,Stable,2,1,0,1,1,2,
PT012,Stable,2,2,0,1,2,2,
PT013,Stable,2,0,0,1,2,2,
PT014,Stable,2,2,2,1,2,2,
PT015,Stable,2,1,0,1,2,2,
PT016,Stable,2,1,0,1,2,2,
PT017,Stable,2,1,0,1,2,2,
PT018,Stable,2,1,2,1,2,2,
PT019,Stable,0,1,0,1,2,2,
PT020,Stable,2,2,0,1,2,2,
PT021,Stable,2,1,0,1,2,2,
PT022,Stable,2,1,2,1,2,2,
PT023,Stable,2,0,2,1,1,2,
PT024,Stable,2,1,2,1,2,2,
PT025,Stable,2,2,2,1,2,2,
PT026,Stable,2,2,2,1,2,2,
PT027,Stable,2,1,2,2,2,2,
PT028,Stable,2,2,0,1,2,2,
PT029,Preview,2,2,0,1,2,2,
PT030,Stable,2,1,0,1,1,2,
PT031,Stable,2,2,0,1,2,2,
Q000,Stable,2,0,2,2,1,1,
Q001,Stable,2,0,2,2,1,1,
Q002,Stable,2,0,2,2,1,1,
Q003,Stable,2,1,2,2,1,1,
Q004,Stable,2,1,2,2,2,1,
RSE102,Stable,2,0,2,2,2,2,
RET501,Stable,2,0,2,2,2,2,
RET502,Stable,2,0,2,2,2,2,
RET503,Stable,1,0,2,2,2,2,
RET504,Stable,1,0,2,2,2,2,
RET505,Stable,1,0,2,2,2,2,
RET506,Stable,1,0,2,2,2,2,
RET507,Stable,1,0,2,2,2,2,
RET508,Stable,1,0,2,2,2,2,
SLF001,Stable,0,1,0,2,1,2,
SIM101,Stable,2,1,2,2,2,2,
SIM102,Stable,2,1,2,2,1,2,
SIM103,Stable,2,1,2,2,2,2,
SIM105,Stable,2,0,2,2,2,2,
SIM107,Stable,2,2,0,2,2,2,
SIM108,Stable,2,0,2,2,1,2,
SIM109,Stable,2,0,2,2,2,2,
SIM110,Stable,2,1,2,2,1,2,
SIM112,Stable,2,0,2,2,2,2,
SIM113,Stable,2,1,0,2,2,2,
SIM114,Stable,2,1,2,2,2,2,
SIM115,Stable,2,1,0,2,2,2,
SIM116,Stable,2,0,0,2,2,2,
SIM117,Stable,2,1,2,2,1,2,
SIM118,Stable,1,1,2,2,2,2,
SIM201,Stable,2,1,2,2,2,2,
SIM202,Stable,2,1,2,2,2,2,
SIM208,Stable,2,1,2,2,2,2,
SIM210,Stable,2,1,2,2,2,2,
SIM211,Stable,2,1,2,2,2,2,
SIM212,Stable,2,1,2,2,2,2,
SIM220,Stable,2,1,2,2,2,2,
SIM221,Stable,2,1,2,2,2,2,
SIM222,Stable,2,1,2,2,2,2,
SIM223,Stable,2,1,2,2,2,2,
SIM300,Stable,2,0,2,2,2,2,
SIM401,Stable,2,1,2,2,1,2,
SIM905,Stable,2,1,2,2,2,2,
SIM910,Stable,2,1,2,2,2,2,
SIM911,Stable,2,1,2,2,2,2,
SLOT000,Stable,2,1,0,2,2,2,
SLOT001,Stable,2,1,0,2,2,2,
SLOT002,Stable,2,1,0,2,2,2,
TID251,Stable,2,0,0,2,0,2,
TID252,Stable,1,1,2,2,1,2,
TID253,Stable,2,0,0,2,0,2,
TD001,Stable,2,0,0,2,2,2,
TD002,Stable,2,0,0,2,2,2,
TD003,Stable,1,0,0,2,2,2,
TD004,Stable,2,0,0,2,2,2,
TD005,Stable,1,0,0,2,2,2,
TD006,Stable,2,0,2,2,2,2,
TD007,Stable,2,0,0,2,2,2,
TC001,Stable,1,1,2,2,1,2,
TC002,Stable,1,1,2,2,1,2,
TC003,Stable,2,1,2,2,1,2,
TC004,Stable,2,2,2,2,1,2,
TC005,Stable,2,1,2,2,2,2,
TC006,Stable,2,0,2,2,2,2,
TC007,Stable,2,2,2,2,2,2,
TC008,Preview,1,1,2,2,2,2,
TC010,Stable,2,2,0,2,2,2,
ARG001,Stable,2,2,0,2,1,2,
ARG002,Stable,2,2,0,2,1,2,
ARG003,Stable,2,2,0,2,1,2,
ARG004,Stable,2,2,0,2,1,2,
ARG005,Stable,2,2,0,2,1,2,
PTH100,Stable,2,1,2,2,2,2,
PTH101,Stable,2,1,2,2,2,2,
PTH102,Stable,2,1,2,2,2,2,
PTH103,Stable,2,1,2,2,2,2,
PTH104,Stable,2,1,2,2,2,2,
PTH105,Stable,2,1,2,2,2,2,
PTH106,Stable,2,1,2,2,2,2,
PTH107,Stable,2,1,2,2,2,2,
PTH108,Stable,2,1,2,2,2,2,
PTH109,Stable,2,1,2,2,2,2,
PTH110,Stable,2,1,2,2,2,2,
PTH111,Stable,2,1,2,2,2,2,
PTH112,Stable,2,1,2,2,2,2,
PTH113,Stable,2,1,2,2,2,2,
PTH114,Stable,2,1,2,2,2,2,
PTH115,Stable,2,1,2,2,2,2,
PTH116,Stable,2,1,0,2,2,2,
PTH117,Stable,2,1,2,2,2,2,
PTH118,Stable,2,1,0,2,2,2,
PTH119,Stable,2,1,2,2,2,2,
PTH120,Stable,2,1,2,2,2,2,
PTH121,Stable,2,1,2,2,2,2,
PTH122,Stable,2,1,0,2,2,2,
PTH123,Stable,2,1,2,2,2,2,
PTH124,Stable,2,2,0,0,2,2,
PTH201,Stable,2,1,2,2,2,2,
PTH202,Stable,2,1,2,2,2,2,
PTH203,Stable,2,1,2,2,2,2,
PTH204,Stable,2,1,2,2,2,2,
PTH205,Stable,2,1,2,2,2,2,
PTH206,Stable,2,1,0,2,2,2,
PTH207,Stable,2,1,0,2,2,2,
PTH208,Stable,2,1,0,2,2,2,
PTH210,Stable,2,2,2,2,2,2,
PTH211,Stable,2,1,2,2,2,2,
FLY002,Stable,2,1,2,2,2,2,
I001,Stable,1,0,2,2,1,2,
I002,Stable,2,0,2,2,0,2,
C901,Stable,2,0,0,2,1,2,
NPY001,Stable,2,2,2,0,2,2,
NPY002,Stable,2,2,0,0,2,2,
NPY003,Stable,2,2,2,0,2,2,
NPY201,Stable,2,2,2,0,2,2,
N801,Stable,2,1,0,2,1,2,
N802,Stable,2,1,0,2,1,2,
N803,Stable,2,1,0,2,1,2,
N804,Stable,2,1,2,2,1,2,
N805,Stable,2,1,2,2,1,2,
N806,Stable,2,1,0,2,1,2,
N807,Stable,2,1,0,2,1,2,
N811,Stable,2,1,0,2,1,2,
