rule,type,accuracy,severity,fixability,applicability,configuration,conflicts,total
N812,Stable,2,1,0,2,1,2,
N813,Stable,2,1,0,2,1,2,
N814,Stable,2,1,0,2,1,2,
N815,Stable,2,1,0,2,1,2,
N816,Stable,2,1,0,2,1,2,
N817,Stable,2,1,0,2,1,2,
N818,Stable,2,1,0,2,1,2,
N999,Stable,2,1,0,2,1,2,
PD002,Stable,1,1,2,0,2,2,
PD003,Stable,1,0,0,0,2,2,
PD004,Stable,1,0,0,0,2,2,
PD007,Stable,1,2,0,0,2,2,
PD008,Stable,1,1,0,0,2,2,
PD009,Stable,1,1,0,0,2,2,
PD010,Stable,1,1,0,0,2,2,
PD011,Stable,1,1,0,0,2,2,
PD012,Stable,2,1,0,0,2,2,
PD013,Stable,1,1,0,0,2,2,
PD015,Stable,2,1,0,0,2,2,
PD101,Stable,1,1,0,0,2,2,
PD901,Removed,0,0,0,0,2,2,
PERF101,Stable,2,1,2,2,2,2,
PERF102,Stable,2,1,2,2,2,2,
PERF203,Stable,2,1,0,2,1,2,
PERF401,Stable,2,1,2,2,2,2,
PERF402,Stable,2,1,0,2,2,2,
PERF403,Stable,2,1,2,2,2,2,
E101,Stable,2,0,0,2,2,1,
E111,Preview,2,1,0,2,1,1,
E112,Preview,2,2,0,2,2,2,
E113,Preview,2,2,0,2,2,2,
E114,Preview,2,1,0,2,1,1,
E115,Preview,2,1,0,2,2,1,
E116,Preview,2,1,0,2,2,1,
E117,Preview,2,1,0,2,2,1,
E201,Preview,2,1,2,2,2,1,
E202,Preview,2,1,2,2,2,1,
E203,Preview,2,1,2,2,2,1,
E204,Preview,2,1,2,2,2,1,
E211,Preview,2,1,2,2,2,1,
E221,Preview,2,1,2,2,2,1,
E222,Preview,2,1,2,2,2,1,
E223,Preview,2,1,2,2,2,1,
E224,Preview,2,1,2,2,2,1,
E225,Preview,2,1,2,2,2,1,
E226,Preview,2,1,2,2,2,1,
E227,Preview,2,1,2,2,2,1,
E228,Preview,2,1,2,2,2,1,
E231,Preview,2,1,2,2,2,1,
E241,Preview,2,1,2,2,2,1,
E242,Preview,2,1,2,2,2,1,
E251,Preview,2,1,2,2,2,1,
E252,Preview,2,1,2,2,2,1,
E261,Preview,2,1,2,2,2,1,
E262,Preview,2,1,2,2,2,1,
E265,Preview,2,1,2,2,2,1,
E266,Preview,2,1,2,2,2,2,
E271,Preview,2,1,2,2,2,1,
E272,Preview,2,1,2,2,2,1,
E273,Preview,2,1,2,2,2,1,
E274,Preview,2,1,2,2,2,1,
E275,Preview,2,1,2,2,2,1,
E301,Preview,2,1,2,2,2,1,
E302,Preview,2,1,2,2,1,1,
E303,Preview,2,1,2,2,1,1,
E304,Preview,2,1,2,2,2,1,
E305,Preview,2,1,2,2,2,1,
E306,Preview,2,1,2,2,2,1,
E401,Stable,2,1,2,2,2,2,
E402,Stable,2,1,0,2,2,2,
E501,Stable,2,1,0,2,1,1,
E502,Preview,2,1,2,2,2,1,
E701,Stable,2,1,0,2,2,1,
E702,Stable,2,1,0,2,2,1,
E703,Stable,2,1,2,2,2,1,
E711,Stable,2,1,2,2,2,2,
E712,Stable,2,1,2,2,2,2,
E713,Stable,2,1,2,2,2,2,
E714,Stable,2,1,2,2,2,2,
E721,Stable,2,1,0,2,2,2,
E722,Stable,2,2,0,2,2,2,
E731,Stable,2,1,1,2,2,2,
E741,Stable,2,1,0,2,2,2,
E742,Stable,2,1,0,2,2,2,
E743,Stable,2,1,0,2,2,2,
E902,Stable,2,2,0,2,2,2,
E999,Removed,2,2,0,2,2,2,
W191,Stable,2,1,0,2,2,0,
W291,Stable,2,1,2,2,2,1,
W292,Stable,2,1,2,2,2,1,
W293,Stable,2,1,2,2,2,1,
W391,Preview,2,1,2,2,2,1,
W505,Stable,2,1,0,2,1,2,
W605,Stable,2,2,2,2,2,2,
DOC102,Preview,2,0,0,2,1,2,
DOC201,Preview,2,0,0,2,1,2,
DOC202,Preview,2,0,0,2,1,2,
DOC402,Preview,2,0,0,2,1,2,
DOC403,Preview,2,0,0,2,1,2,
DOC501,Preview,2,0,0,2,1,2,
DOC502,Preview,1,0,0,2,1,2,
D100,Stable,2,0,0,2,1,2,
D101,Stable,2,0,0,2,1,2,
D102,Stable,2,0,0,2,1,2,
D103,Stable,2,0,0,2,1,2,
D104,Stable,2,0,0,2,1,2,
D105,Stable,2,0,0,2,1,2,
D106,Stable,2,0,0,2,1,2,
D107,Stable,2,0,0,2,1,2,
D200,Stable,2,0,2,2,1,2,
D201,Stable,2,0,2,2,1,2,
D202,Stable,2,0,2,2,1,2,
D203,Stable,2,0,2,2,1,2,
D204,Stable,2,0,2,2,1,2,
D205,Stable,2,0,2,2,1,2,
D206,Stable,2,0,0,2,1,0,
D207,Stable,2,0,2,2,1,1,
D208,Stable,2,0,2,2,1,1,
D209,Stable,2,0,2,2,1,2,
D210,Stable,2,0,2,2,1,1,
D211,Stable,2,0,2,2,1,1,
D212,Stable,2,0,2,2,1,2,
D213,Stable,2,0,2,2,1,2,
D214,Stable,2,0,2,1,1,2,
D215,Stable,2,0,2,1,1,2,
D300,Stable,2,0,2,2,1,1,
D301,Stable,2,0,2,2,1,2,
D400,Stable,2,0,2,2,1,2,
D401,Stable,2,0,0,2,1,2,
D402,Stable,2,0,0,2,1,2,
D403,Stable,2,0,2,2,1,2,
D404,Stable,2,0,0,2,1,2,
D405,Stable,2,0,2,1,1,2,
D406,Stable,2,0,2,1,1,2,
D407,Stable,2,0,2,1,1,2,
D408,Stable,2,0,2,1,1,2,
D409,Stable,2,0,2,1,1,2,
D410,Stable,2,0,2,1,1,2,
D411,Stable,2,0,2,1,1,2,
D412,Stable,2,0,2,1,1,2,
D413,Stable,2,0,2,1,1,2,
D414,Stable,2,0,0,1,1,2,
D415,Stable,2,0,2,2,1,2,
D416,Stable,2,0,2,1,1,2,
D417,Stable,2,0,0,1,1,2,
D418,Stable,2,0,0,2,1,2,
D419,Stable,2,0,0,2,1,2,
F401,Stable,2,2,2,2,1,2,
F402,Stable,2,2,0,2,2,2,
F403,Stable,2,2,0,2,2,2,
F404,Stable,2,2,0,2,2,2,
F405,Stable,2,2,0,2,2,2,
F406,Stable,2,2,0,2,2,2,
F407,Stable,2,2,0,2,2,2,
F501,Stable,2,2,0,2,2,2,
F502,Stable,2,2,0,2,2,2,
F503,Stable,2,2,0,2,2,2,
F504,Stable,2,2,2,2,2,2,
F505,Stable,2,2,0,2,2,2,
F506,Stable,2,2,0,2,2,2,
F507,Stable,2,2,0,2,2,2,
F508,Stable,2,2,0,2,2,2,
F509,Stable,2,2,0,2,2,2,
F521,Stable,2,2,0,2,2,2,
F522,Stable,2,2,2,2,2,2,
F523,Stable,2,2,2,2,2,2,
F524,Stable,2,2,0,2,2,2,
F525,Stable,2,2,0,2,2,2,
F541,Stable,2,1,2,2,2,2,
F601,Stable,2,2,2,2,2,2,
F602,Stable,2,2,2,2,2,2,
F621,Stable,2,2,0,2,2,2,
F622,Stable,2,2,0,2,2,2,
F631,Stable,2,2,0,2,2,2,
F632,Stable,2,2,2,2,2,2,
F633,Stable,2,2,0,2,2,2,
F634,Stable,2,2,0,2,2,2,
F701,Stable,2,2,0,2,2,2,
F702,Stable,2,2,0,2,2,2,
F704,Stable,2,2,0,2,2,2,
F706,Stable,2,2,0,2,2,2,
F707,Stable,2,2,0,2,2,2,
F722,Stable,2,1,0,2,2,2,
F811,Stable,2,2,2,2,1,2,
F821,Stable,2,2,0,2,1,2,
F822,Stable,2,2,0,2,2,2,
F823,Stable,2,2,0,2,2,2,
F841,Stable,2,2,2,2,1,2,
F842,Stable,2,2,0,2,1,2,
F901,Stable,2,1,2,2,2,2,
PGH001,Removed,2,1,0,2,2,2,
PGH002,Removed,2,1,2,2,2,2,
PGH003,Stable,2,1,0,2,2,2,
PGH004,Stable,2,1,2,2,2,2,
PGH005,Stable,1,2,0,2,2,2,
PLC0105,Stable,2,0,0,2,2,2,
PLC0131,Stable,2,2,0,2,2,2,
PLC0132,Stable,2,2,0,2,2,2,
PLC0205,Stable,2,2,0,2,2,2,
PLC0206,Stable,2,1,0,2,2,2,
PLC0207,Preview,2,1,2,2,2,2,
PLC0208,Stable,2,1,2,2,2,2,
PLC0414,Stable,2,1,2,2,1,2,
PLC0415,Stable,2,1,0,2,1,2,
PLC1802,Stable,2,1,2,2,2,2,
PLC1901,Preview,0,1,0,2,2,2,
PLC2401,Stable,2,1,0,2,2,2,
PLC2403,Stable,2,1,0,2,2,2,
PLC2701,Preview,2,1,0,2,1,2,
PLC2801,Preview,2,1,2,2,2,2,
PLC3002,Stable,2,1,0,2,2,2,
PLE0100,Stable,2,2,0,2,2,2,
PLE0101,Stable,2,2,0,2,2,2,
PLE0115,Stable,2,2,0,2,2,2,
PLE0116,Stable,2,2,0,2,2,2,
PLE0117,Stable,2,2,0,2,2,2,
PLE0118,Stable,2,2,0,2,2,2,
PLE0237,Stable,1,2,0,2,2,2,
PLE0241,Stable,2,2,2,2,2,2,
PLE0302,Stable,2,2,0,2,2,2,
PLE0303,Stable,2,2,0,2,2,2,
PLE0304,Preview,2,2,0,2,2,2,
PLE0305,Stable,2,2,0,2,2,2,
PLE0307,Stable,2,2,0,2,2,2,
PLE0308,Stable,2,2,0,2,2,2,
PLE0309,Stable,2,2,0,2,2,2,
PLE0604,Stable,2,2,0,2,2,2,
PLE0605,Stable,2,2,0,2,2,2,
PLE0643,Stable,2,2,0,2,2,2,
PLE0704,Stable,2,2,0,2,2,2,
PLE1132,Stable,2,2,0,2,2,2,
PLE1141,Preview,1,2,2,2,2,2,
PLE1142,Stable,2,2,0,2,2,2,
PLE1205,Stable,2,2,0,2,1,2,
PLE1206,Stable,2,2,0,2,1,2,
PLE1300,Stable,2,2,0,2,2,2,
PLE1307,Stable,2,2,0,2,2,2,
PLE1310,Stable,2,2,0,2,2,2,
PLE1507,Stable,2,2,0,2,2,2,
PLE1519,Stable,2,1,2,2,1,2,
PLE1520,Stable,2,1,2,2,2,2,
PLE1700,Stable,2,2,0,2,2,2,
PLE2502,Stable,2,2,0,2,2,2,
PLE2510,Stable,2,2,2,2,2,2,
PLE2512,Stable,2,2,2,2,2,2,
PLE2513,Stable,2,2,2,2,2,2,
PLE2514,Stable,2,2,2,2,2,2,
PLE2515,Stable,2,2,2,2,2,2,
PLE4703,Preview,1,2,2,2,2,2,
PLR0124,Stable,2,2,0,2,2,2,
PLR0133,Stable,2,2,0,2,2,2,
PLR0202,Preview,2,1,2,2,2,2,
PLR0203,Preview,2,1,2,2,2,2,
PLR0206,Stable,2,2,0,2,1,2,
PLR0402,Stable,2,1,2,2,1,2,
PLR0904,Preview,2,0,0,2,1,2,
PLR0911,Stable,2,0,0,2,1,2,
PLR0912,Stable,2,0,0,2,1,2,
PLR0913,Stable,2,0,0,2,1,2,
PLR0914,Preview,2,0,0,2,1,2,
PLR0915,Stable,2,0,0,2,1,2,
PLR0916,Preview,2,0,0,2,1,2,
PLR0917,Preview,2,0,0,2,1,2,
PLR1701,Removed,2,1,2,2,1,2,
PLR1702,Preview,2,0,0,2,1,2,
PLR1704,Stable,2,2,0,2,1,2,
PLR1706,Removed,2,1,0,2,2,2,
PLR1708,Preview,2,1,0,2,2,2,
PLR1711,Stable,2,1,2,2,2,2,
PLR1714,Stable,2,1,2,2,2,2,
PLR1716,Stable,2,1,2,2,2,2,
PLR1722,Stable,2,2,2,2,2,2,
PLR1730,Stable,2,1,2,2,2,2,
PLR1733,Stable,2,1,2,2,2,2,
PLR1736,Stable,2,1,2,2,2,2,
PLR2004,Stable,1,1,0,2,1,2,
PLR2044,Stable,2,1,2,2,2,2,
PLR5501,Stable,2,1,2,2,2,2,
PLR6104,Preview,1,1,2,2,2,2,
PLR6201,Preview,1,1,2,2,2,2,
PLR6301,Preview,1,1,0,2,1,2,
PLW0108,Preview,2,1,2,2,2,2,
PLW0120,Stable,2,2,2,2,2,2,
PLW0127,Stable,2,2,0,2,2,2,
PLW0128,Stable,2,2,0,2,1,2,
PLW0129,Stable,2,2,0,2,2,2,
PLW0131,Stable,2,2,0,2,2,2,
PLW0133,Stable,2,2,2,2,2,2,
PLW0177,Stable,2,2,0,2,2,2,
PLW0211,Stable,2,1,0,2,1,2,
PLW0244,Preview,1,1,0,2,2,2,
PLW0245,Stable,2,2,2,2,1,2,
PLW0406,Stable,2,2,0,2,2,2,
PLW0602,Stable,2,2,0,2,2,2,
PLW0603,Stable,2,1,0,2,2,2,
PLW0604,Stable,2,2,0,2,2,2,
PLW0642,Stable,2,1,0,2,1,2,
PLW0711,Stable,2,2,0,2,2,2,
PLW1501,Stable,2,2,0,2,2,2,
PLW1507,Stable,2,2,2,2,2,2,
PLW1508,Stable,2,2,0,2,2,2,
PLW1509,Stable,2,2,0,2,2,2,
PLW1510,Stable,2,2,2,2,2,2,
PLW1514,Preview,2,1,2,2,2,2,
PLW1641,Stable,2,1,0,2,2,2,
PLW2101,Stable,2,2,0,2,2,2,
PLW2901,Stable,2,2,0,2,1,2,
PLW3201,Preview,2,2,0,2,1,2,
PLW3301,Stable,2,1,2,2,2,2,
UP001,Stable,2,1,2,2,2,2,
UP003,Stable,2,1,2,2,2,2,
UP004,Stable,2,1,2,2,2,2,
UP005,Stable,2,2,2,2,2,2,
UP006,Stable,2,1,2,2,1,2,
UP007,Stable,2,1,2,2,1,2,
UP008,Stable,2,1,2,2,2,2,
UP009,Stable,2,1,2,2,2,2,
UP010,Stable,2,1,2,2,1,2,
UP011,Stable,2,1,2,2,2,2,
UP012,Stable,2,1,2,2,2,2,
UP013,Stable,2,1,2,2,2,2,
UP014,Stable,2,1,2,2,2,2,
UP015,Stable,2,1,2,2,2,2,
UP017,Stable,2,1,2,2,1,2,
UP018,Stable,2,1,2,2,2,2,
UP019,Stable,2,2,2,2,2,2,
UP020,Stable,2,1,2,2,2,2,
UP021,Stable,2,2,2,2,2,2,
UP022,Stable,2,1,2,2,2,2,
UP023,Stable,2,2,2,2,2,2,
UP024,Stable,2,2,2,2,2,2,
UP025,Stable,2,1,2,2,2,2,
UP026,Stable,2,2,2,0,1,2,
UP027,Removed,2,0,0,2,2,2,
UP028,Stable,2,1,2,2,2,2,
UP029,Stable,2,1,2,2,1,2,
UP030,Stable,2,1,2,2,2,2,
UP031,Stable,2,1,2,2,2,2,
UP032,Stable,2,1,2,2,2,2,
UP033,Stable,2,1,2,2,2,2,
UP034,Stable,2,1,2,2,2,2,
UP035,Stable,2,2,2,2,2,2,
UP036,Stable,2,2,2,2,0,2,
UP037,Stable,1,1,2,2,1,2,
UP038,Removed,2,0,2,2,1,2,
UP039,Stable,2,1,2,2,2,2,
UP040,Stable,2,1,2,2,1,2,
UP041,Stable,2,2,2,2,1,2,
UP042,Preview,2,1,2,2,1,2,
UP043,Stable,2,1,2,2,1,2,
UP044,Stable,2,1,2,2,1,2,
UP045,Stable,2,1,2,2,1,2,
UP046,Stable,2,1,2,2,1,2,
UP047,Stable,2,1,2,2,1,2,
UP049,Stable,2,1,1,2,2,2,
UP050,Stable,2,1,2,2,2,2,
FURB101,Preview,2,1,2,2,2,2,
FURB103,Preview,2,1,2,2,2,2,
FURB105,Stable,2,1,2,2,2,2,
FURB110,Preview,2,1,2,2,2,2,
FURB113,Preview,2,1,2,2,2,2,
FURB116,Stable,2,1,1,2,2,2,
FURB118,Preview,2,1,2,2,2,2,
FURB122,Stable,2,1,2,2,2,2,
FURB129,Stable,2,1,2,2,2,2,
FURB131,Preview,2,1,2,2,2,2,
FURB132,Stable,2,1,2,2,2,2,
FURB136,Stable,2,1,2,2,2,2,
FURB140,Preview,2,1,2,2,2,2,
FURB142,Preview,2,1,2,2,2,2,
FURB145,Preview,2,1,2,2,2,2,
FURB148,Preview,2,1,2,2,2,2,
FURB152,Preview,2,2,2,2,2,2,
FURB154,Preview,2,1,2,2,2,1,
FURB156,Preview,2,1,2,2,2,2,
FURB157,Stable,2,1,2,2,2,2,
FURB161,Stable,2,1,2,2,1,2,
FURB162,Stable,2,1,2,2,2,2,
FURB163,Stable,2,2,2,2,2,2,
FURB164,Preview,2,1,2,2,2,2,
FURB166,Stable,2,1,2,2,2,2,
FURB167,Stable,2,1,2,2,2,2,
FURB168,Stable,2,1,2,2,2,2,
FURB169,Stable,2,1,2,2,2,2,
FURB171,Preview,2,1,2,2,2,2,
FURB177,Stable,2,1,2,2,2,2,
FURB180,Preview,2,1,2,2,2,2,
FURB181,Stable,2,1,2,2,2,2,
FURB187,Stable,2,1,2,2,2,2,
FURB188,Stable,2,1,2,2,2,2,
FURB189,Preview,2,2,2,2,2,2,
FURB192,Preview,2,1,2,2,2,2,
RUF001,Stable,2,2,0,2,1,2,
RUF002,Stable,2,2,0,2,1,2,
RUF003,Stable,2,2,0,2,1,2,
RUF005,Stable,2,1,2,2,2,2,
RUF006,Stable,1,2,0,2,2,2,
RUF007,Stable,2,1,2,2,2,2,
RUF008,Stable,1,2,0,2,2,2,
RUF009,Stable,1,2,0,2,1,2,
RUF010,Stable,2,1,2,2,2,2,
RUF011,Removed,2,2,0,2,2,2,
RUF012,Stable,1,2,0,2,2,2,
RUF013,Stable,2,1,2,2,1,2,
RUF015,Stable,2,1,2,2,2,2,
RUF016,Stable,2,2,0,2,2,2,
RUF017,Stable,2,1,2,2,2,2,
RUF018,Stable,2,2,0,2,2,2,
RUF019,Stable,2,1,2,2,2,2,
RUF020,Stable,2,1,2,2,2,2,
RUF021,Stable,2,1,2,2,2,2,
RUF022,Stable,2,0,2,2,2,2,
RUF023,Stable,2,0,2,2,2,2,
RUF024,Stable,1,2,2,2,2,2,
RUF026,Stable,2,2,2,2,2,2,
RUF027,Preview,2,2,2,2,1,2,
RUF028,Stable,2,2,2,2,2,2,
RUF029,Preview,2,2,0,2,2,2,
RUF030,Stable,2,2,2,2,2,2,
RUF031,Preview,2,0,2,2,1,2,
RUF032,Stable,2,1,2,2,2,2,
RUF033,Stable,2,2,2,2,2,2,
RUF034,Stable,2,2,0,2,2,2,
RUF035,Removed,1,1,0,0,1,0,
RUF036,Preview,2,1,0,2,2,2,
RUF037,Preview,2,1,2,2,2,2,
RUF038,Preview,2,1,2,2,2,2,
RUF039,Preview,2,1,2,2,2,2,
RUF040,Stable,2,2,0,2,2,2,
RUF041,Stable,2,1,2,2,2,2,
RUF043,Stable,2,1,0,1,2,2,
RUF045,Preview,2,2,0,2,1,2,
RUF046,Stable,2,1,2,2,2,2,
RUF047,Preview,2,1,2,2,2,2,
RUF048,Stable,2,2,0,2,2,2,
RUF049,Stable,2,2,0,2,2,2,
RUF051,Stable,2,1,2,2,2,2,
RUF052,Preview,2,1,2,2,1,2,
RUF053,Stable,2,2,2,2,2,2,
RUF054,Preview,2,2,0,2,2,1,
RUF055,Preview,2,1,2,2,2,2,
RUF056,Preview,2,1,2,2,2,2,
RUF057,Stable,2,1,2,2,2,2,
RUF058,Stable,2,1,2,2,2,2,
RUF059,Stable,2,2,2,2,1,2,
RUF060,Preview,2,2,0,2,2,2,
RUF061,Preview,2,1,2,1,2,2,
RUF063,Preview,2,2,0,2,1,2,
RUF064,Preview,2,2,2,2,2,2,
RUF065,Preview,2,1,0,2,1,2,
RUF066,Preview,2,2,0,2,2,2,
RUF100,Stable,2,2,2,2,1,2,
RUF101,Stable,2,2,2,2,2,2,
RUF102,Preview,2,2,2,2,1,2,
RUF103,Preview,2,2,2,2,2,2,
RUF104,Preview,2,2,0,2,2,2,
RUF200,Stable,2,2,0,2,2,2,
TRY002,Stable,2,1,0,2,2,2,
TRY003,Stable,2,1,0,2,2,2,
TRY004,Stable,2,1,0,2,2,2,
TRY200,Removed,2,1,0,2,2,2,
TRY201,Stable,2,1,2,2,2,2,
TRY203,Stable,2,1,0,2,2,2,
TRY300,Stable,2,2,0,2,2,2,
TRY301,Stable,2,1,0,2,2,2,
TRY400,Stable,2,1,2,2,1,2,
TRY401,Stable,2,1,0,2,1,2,
